Data type,Cancer group/site,Year,Sex,Age group (years),Count,ICD10 codes
Actual,Melanoma of the skin,1983,Males,50–54,35,C43
Actual,Melanoma of the skin,1983,Males,55–59,43,C43
Actual,Melanoma of the skin,1983,Males,60–64,51,C43
Actual,Melanoma of the skin,1983,Males,65–69,43,C43
Actual,Melanoma of the skin,1983,Males,70–74,42,C43
Actual,Melanoma of the skin,1983,Males,75–79,24,C43
Actual,Melanoma of the skin,1983,Males,80–84,18,C43
Actual,Melanoma of the skin,1983,Males,85–89,7,C43
Actual,Melanoma of the skin,1983,Males,90+,1,C43
Actual,Melanoma of the skin,1983,Males,All ages combined,362,C43
Actual,Melanoma of the skin,1984,Males,00–04,0,C43
Actual,Melanoma of the skin,1984,Males,05–09,0,C43
Actual,Melanoma of the skin,1984,Males,10–14,0,C43
Actual,Melanoma of the skin,1984,Males,15–19,2,C43
Actual,Melanoma of the skin,1984,Males,20–24,6,C43
Actual,Melanoma of the skin,1984,Males,25–29,13,C43
Actual,Melanoma of the skin,1984,Males,30–34,19,C43
Actual,Melanoma of the skin,1984,Males,35–39,21,C43
Actual,Melanoma of the skin,1984,Males,40–44,21,C43
Actual,Melanoma of the skin,1984,Males,45–49,27,C43
Actual,Melanoma of the skin,1984,Males,50–54,39,C43
Actual,Melanoma of the skin,1984,Males,55–59,49,C43
Actual,Melanoma of the skin,1984,Males,60–64,59,C43
Actual,Melanoma of the skin,1984,Males,65–69,52,C43
Actual,Melanoma of the skin,1984,Males,70–74,36,C43
Actual,Melanoma of the skin,1984,Males,75–79,29,C43
Actual,Melanoma of the skin,1984,Males,80–84,14,C43
Actual,Melanoma of the skin,1984,Males,85–89,6,C43
Actual,Melanoma of the skin,1984,Males,90+,4,C43
Actual,Melanoma of the skin,1984,Males,All ages combined,397,C43
Actual,Melanoma of the skin,1985,Males,00–04,1,C43
Actual,Melanoma of the skin,1985,Males,05–09,0,C43
Actual,Melanoma of the skin,1985,Males,10–14,0,C43
Actual,Melanoma of the skin,1985,Males,15–19,5,C43
Actual,Melanoma of the skin,1985,Males,20–24,6,C43
Actual,Melanoma of the skin,1985,Males,25–29,14,C43
Actual,Melanoma of the skin,1985,Males,30–34,14,C43
Actual,Melanoma of the skin,1985,Males,35–39,27,C43
Actual,Melanoma of the skin,1985,Males,40–44,21,C43
Actual,Melanoma of the skin,1985,Males,45–49,25,C43
Actual,Melanoma of the skin,1985,Males,50–54,36,C43
Actual,Melanoma of the skin,1985,Males,55–59,41,C43
Actual,Melanoma of the skin,1985,Males,60–64,53,C43
Actual,Melanoma of the skin,1985,Males,65–69,51,C43
Actual,Melanoma of the skin,1985,Males,70–74,47,C43
Actual,Melanoma of the skin,1985,Males,75–79,27,C43
Actual,Melanoma of the skin,1985,Males,80–84,22,C43
Actual,Melanoma of the skin,1985,Males,85–89,11,C43
Actual,Melanoma of the skin,1985,Males,90+,2,C43
Actual,Melanoma of the skin,1985,Males,All ages combined,403,C43
Actual,Melanoma of the skin,1986,Males,00–04,0,C43
Actual,Melanoma of the skin,1986,Males,05–09,0,C43
Actual,Melanoma of the skin,1986,Males,10–14,0,C43
Actual,Melanoma of the skin,1986,Males,15–19,3,C43
Actual,Melanoma of the skin,1986,Males,20–24,6,C43
Actual,Melanoma of the skin,1986,Males,25–29,9,C43
Actual,Melanoma of the skin,1986,Males,30–34,26,C43
Actual,Melanoma of the skin,1986,Males,35–39,20,C43
Actual,Melanoma of the skin,1986,Males,40–44,24,C43
Actual,Melanoma of the skin,1986,Males,45–49,21,C43
Actual,Melanoma of the skin,1986,Males,50–54,32,C43
Actual,Melanoma of the skin,1986,Males,55–59,39,C43
Actual,Melanoma of the skin,1986,Males,60–64,42,C43
Actual,Melanoma of the skin,1986,Males,65–69,51,C43
Actual,Melanoma of the skin,1986,Males,70–74,59,C43
Actual,Melanoma of the skin,1986,Males,75–79,48,C43
Actual,Melanoma of the skin,1986,Males,80–84,21,C43
Actual,Melanoma of the skin,1986,Males,85–89,12,C43
Actual,Melanoma of the skin,1986,Males,90+,5,C43
Actual,Melanoma of the skin,1986,Males,All ages combined,418,C43
Actual,Melanoma of the skin,1987,Males,00–04,0,C43
Actual,Melanoma of the skin,1987,Males,05–09,0,C43
Actual,Melanoma of the skin,1987,Males,10–14,0,C43
Actual,Melanoma of the skin,1987,Males,15–19,2,C43
Actual,Melanoma of the skin,1987,Males,20–24,6,C43
Actual,Melanoma of the skin,1987,Males,25–29,13,C43
Actual,Melanoma of the skin,1987,Males,30–34,30,C43
Actual,Melanoma of the skin,1987,Males,35–39,24,C43
Actual,Melanoma of the skin,1987,Males,40–44,30,C43
Actual,Melanoma of the skin,1987,Males,45–49,26,C43
Actual,Melanoma of the skin,1987,Males,50–54,33,C43
Actual,Melanoma of the skin,1987,Males,55–59,54,C43
Actual,Melanoma of the skin,1987,Males,60–64,63,C43
Actual,Melanoma of the skin,1987,Males,65–69,55,C43
